"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Rosh Hashana","15/9/2023",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5784","16/9/2023",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","17/9/2023",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","18/9/2023",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","23/9/2023",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Erev Yom Kippur","24/9/2023",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","25/9/2023",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","29/9/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","30/9/2023",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II","1/10/2023",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot III (CH''M)","2/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH''M)","3/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH''M)","4/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH''M)","5/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","6/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","7/10/2023",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","8/10/2023",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Cheshvan","14/10/2023",,,,"true","Molad Cheshvan: Sat; 33 minutes and 1 chalakim after 18:00","3",""
"Rosh Chodesh Cheshvan","15/10/2023",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","16/10/2023",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Kislev","11/11/2023",,,,"true","Molad Kislev: Mon; 17 minutes and 2 chalakim after 7:00","3",""
"Sigd","13/11/2023",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","14/11/2023",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 1 Candle","7/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","8/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","9/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tevet","9/12/2023",,,,"true","Molad Tevet: Tue; 1 minutes and 3 chalakim after 20:00","3",""
"Chanukah: 4 Candles","10/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","11/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","12/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chag HaBanot","13/12/2023",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","13/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","13/12/2023",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8 Candles","14/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8th Day","15/12/2023",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Asara B'Tevet","22/12/2023",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sh'vat","6/1/2024",,,,"true","Molad Sh'vat: Thu; 45 minutes and 4 chalakim after 8:00","3",""
"Rosh Chodesh Sh'vat","11/1/2024",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Tu BiShvat","25/1/2024",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shirah","27/1/2024",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar I","3/2/2024",,,,"true","Molad Adar I: Fri; 29 minutes and 5 chalakim after 21:00","3",""
"Rosh Chodesh Adar I","9/2/2024",,,,"true","Start of month of Adar I (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar I","10/2/2024",,,,"true","Start of month of Adar I (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Purim Katan","23/2/2024",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shushan Purim Katan","24/2/2024",,,,"true","Minor Purim celebration during Adar I on leap years in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Shekalim","9/3/2024",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar II","9/3/2024",,,,"true","Molad Adar II: Sun; 13 minutes and 6 chalakim after 10:00","3",""
"Rosh Chodesh Adar II","10/3/2024",,,,"true","Start of month of Adar II (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar II","11/3/2024",,,,"true","Start of month of Adar II (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Ta'anit Esther","21/3/2024",,,,"true","Fast of Esther","3","Jewish Holidays"
"Shabbat Zachor","23/3/2024",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Erev Purim","23/3/2024",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","24/3/2024",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","25/3/2024",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","30/3/2024",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","6/4/2024",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Nisan","6/4/2024",,,,"true","Molad Nisan: Mon; 57 minutes and 7 chalakim after 22:00","3",""
"Rosh Chodesh Nisan","9/4/2024",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Yom HaAliyah","18/4/2024",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Shabbat HaGadol","20/4/2024",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Ta'anit Bechorot","22/4/2024",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","22/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","23/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","24/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","25/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","26/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","27/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","28/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","29/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","30/4/2024",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Iyyar","4/5/2024",,,,"true","Molad Iyyar: Wed; 41 minutes and 8 chalakim after 11:00","3",""
"Yom HaShoah","6/5/2024",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","8/5/2024",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","9/5/2024",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Yom HaZikaron","13/5/2024",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","14/5/2024",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","22/5/2024",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","26/5/2024",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sivan","1/6/2024",,,,"true","Molad Sivan: Fri; 25 minutes and 9 chalakim after 0:00","3",""
"Yom Yerushalayim","5/6/2024",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","7/6/2024",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Erev Shavuot","11/6/2024",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot I","12/6/2024",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shavuot II","13/6/2024",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tamuz","29/6/2024",,,,"true","Molad Tamuz: Sat; 9 minutes and 10 chalakim after 13:00","3",""
"Rosh Chodesh Tamuz","6/7/2024",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","7/7/2024",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Tzom Tammuz","23/7/2024",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Av","3/8/2024",,,,"true","Molad Av: Mon; 53 minutes and 11 chalakim after 1:00","3",""
"Rosh Chodesh Av","5/8/2024",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Chazon","10/8/2024",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Erev Tish'a B'Av","12/8/2024",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish'a B'Av","13/8/2024",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Shabbat Nachamu","17/8/2024",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","19/8/2024",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Elul","31/8/2024",,,,"true","Molad Elul: Tue; 37 minutes and 12 chalakim after 14:00","3",""
"Rosh Chodesh Elul","3/9/2024",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","4/9/2024",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","4/9/2024",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Leil Selichot","28/9/2024",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","2/10/2024",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5785","3/10/2024",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","4/10/2024",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Shabbat Shuva","5/10/2024",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Tzom Gedaliah","6/10/2024",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Erev Yom Kippur","11/10/2024",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","12/10/2024",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","16/10/2024",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","17/10/2024",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II","18/10/2024",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot III (CH''M)","19/10/2024",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH''M)","20/10/2024",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH''M)","21/10/2024",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH''M)","22/10/2024",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","23/10/2024",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","24/10/2024",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","25/10/2024",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Cheshvan","26/10/2024",,,,"true","Molad Cheshvan: Fri; 5 minutes and 14 chalakim after 16:00","3",""
"Rosh Chodesh Cheshvan","1/11/2024",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","2/11/2024",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Sigd","30/11/2024",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Kislev","30/11/2024",,,,"true","Molad Kislev: Sun; 49 minutes and 15 chalakim after 4:00","3",""
"Rosh Chodesh Kislev","1/12/2024",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Kislev","2/12/2024",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 1 Candle","25/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","26/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","27/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","28/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tevet","28/12/2024",,,,"true","Molad Tevet: Mon; 33 minutes and 16 chalakim after 17:00","3",""
"Chanukah: 5 Candles","29/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","30/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chag HaBanot","31/12/2024",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","31/12/2024",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","31/12/2024",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8 Candles","1/1/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","1/1/2025",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8th Day","2/1/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Asara B'Tevet","10/1/2025",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sh'vat","25/1/2025",,,,"true","Molad Sh'vat: Wed; 17 minutes and 17 chalakim after 6:00","3",""
"Rosh Chodesh Sh'vat","30/1/2025",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Shirah","8/2/2025",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Tu BiShvat","13/2/2025",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar","22/2/2025",,,,"true","Molad Adar: Thu; 2 minutes and 0 chalakim after 19:00","3",""
"Rosh Chodesh Adar","28/2/2025",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Shekalim","1/3/2025",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","1/3/2025",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Zachor","8/3/2025",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Ta'anit Esther","13/3/2025",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","13/3/2025",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","14/3/2025",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","15/3/2025",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Purim Meshulash","16/3/2025",,,,"true","Triple Purim; spanning 3 days in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","22/3/2025",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","29/3/2025",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Nisan","29/3/2025",,,,"true","Molad Nisan: Sat; 46 minutes and 1 chalakim after 7:00","3",""
"Rosh Chodesh Nisan","30/3/2025",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Yom HaAliyah","8/4/2025",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Ta'anit Bechorot","10/4/2025",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Shabbat HaGadol","12/4/2025",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Erev Pesach","12/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","13/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","14/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","15/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
