"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Pesach IV (CH''M)","16/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","17/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","18/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","19/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","20/4/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","24/4/2025",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Iyyar","26/4/2025",,,,"true","Molad Iyyar: Sun; 30 minutes and 2 chalakim after 20:00","3",""
"Rosh Chodesh Iyyar","28/4/2025",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","29/4/2025",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Yom HaZikaron","30/4/2025",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","1/5/2025",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","12/5/2025",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","16/5/2025",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sivan","24/5/2025",,,,"true","Molad Sivan: Tue; 14 minutes and 3 chalakim after 9:00","3",""
"Yom Yerushalayim","26/5/2025",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","28/5/2025",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Erev Shavuot","1/6/2025",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot I","2/6/2025",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shavuot II","3/6/2025",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tamuz","21/6/2025",,,,"true","Molad Tamuz: Wed; 58 minutes and 4 chalakim after 21:00","3",""
"Rosh Chodesh Tamuz","26/6/2025",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","27/6/2025",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Tzom Tammuz","13/7/2025",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Av","19/7/2025",,,,"true","Molad Av: Fri; 42 minutes and 5 chalakim after 10:00","3",""
"Rosh Chodesh Av","26/7/2025",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Chazon","2/8/2025",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Erev Tish'a B'Av","2/8/2025",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish'a B'Av","3/8/2025",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tu B'Av","9/8/2025",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Shabbat Nachamu","9/8/2025",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Elul","23/8/2025",,,,"true","Molad Elul: Sat; 26 minutes and 6 chalakim after 23:00","3",""
"Rosh Chodesh Elul","24/8/2025",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","25/8/2025",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","25/8/2025",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Leil Selichot","13/9/2025",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","22/9/2025",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5786","23/9/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","24/9/2025",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","25/9/2025",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","27/9/2025",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Erev Yom Kippur","1/10/2025",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","2/10/2025",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","6/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","7/10/2025",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II","8/10/2025",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot III (CH''M)","9/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH''M)","11/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH''M)","12/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","13/10/2025",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","14/10/2025",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","15/10/2025",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Cheshvan","18/10/2025",,,,"true","Molad Cheshvan: Wed; 54 minutes and 8 chalakim after 0:00","3",""
"Rosh Chodesh Cheshvan","22/10/2025",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","23/10/2025",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Kislev","15/11/2025",,,,"true","Molad Kislev: Thu; 38 minutes and 9 chalakim after 13:00","3",""
"Sigd","20/11/2025",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","21/11/2025",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tevet","13/12/2025",,,,"true","Molad Tevet: Sat; 22 minutes and 10 chalakim after 2:00","3",""
"Chanukah: 1 Candle","14/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","15/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","16/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","17/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","18/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","19/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chag HaBanot","20/12/2025",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","20/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","20/12/2025",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8 Candles","21/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","21/12/2025",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8th Day","22/12/2025",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Asara B'Tevet","30/12/2025",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sh'vat","17/1/2026",,,,"true","Molad Sh'vat: Sun; 6 minutes and 11 chalakim after 15:00","3",""
"Rosh Chodesh Sh'vat","19/1/2026",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Shirah","31/1/2026",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Tu BiShvat","2/2/2026",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","14/2/2026",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar","14/2/2026",,,,"true","Molad Adar: Tue; 50 minutes and 12 chalakim after 3:00","3",""
"Rosh Chodesh Adar","17/2/2026",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar","18/2/2026",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Zachor","28/2/2026",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Ta'anit Esther","2/3/2026",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","2/3/2026",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","3/3/2026",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","4/3/2026",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","7/3/2026",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","14/3/2026",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Nisan","14/3/2026",,,,"true","Molad Nisan: Wed; 34 minutes and 13 chalakim after 16:00","3",""
"Rosh Chodesh Nisan","19/3/2026",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat HaGadol","28/3/2026",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Yom HaAliyah","28/3/2026",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Ta'anit Bechorot","1/4/2026",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","1/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","2/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","3/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","5/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","6/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","7/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","8/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","9/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Iyyar","11/4/2026",,,,"true","Molad Iyyar: Fri; 18 minutes and 14 chalakim after 5:00","3",""
"Yom HaShoah","14/4/2026",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","17/4/2026",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","18/4/2026",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Yom HaZikaron","21/4/2026",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","22/4/2026",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","1/5/2026",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","5/5/2026",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","15/5/2026",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sivan","16/5/2026",,,,"true","Molad Sivan: Sat; 2 minutes and 15 chalakim after 18:00","3",""
"Rosh Chodesh Sivan","17/5/2026",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Erev Shavuot","21/5/2026",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot I","22/5/2026",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shavuot II","23/5/2026",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tamuz","13/6/2026",,,,"true","Molad Tamuz: Mon; 46 minutes and 16 chalakim after 6:00","3",""
"Rosh Chodesh Tamuz","15/6/2026",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","16/6/2026",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Tzom Tammuz","2/7/2026",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Av","11/7/2026",,,,"true","Molad Av: Tue; 30 minutes and 17 chalakim after 19:00","3",""
"Rosh Chodesh Av","15/7/2026",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Chazon","18/7/2026",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Erev Tish'a B'Av","22/7/2026",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish'a B'Av","23/7/2026",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Shabbat Nachamu","25/7/2026",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","29/7/2026",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Elul","8/8/2026",,,,"true","Molad Elul: Thu; 15 minutes and 0 chalakim after 8:00","3",""
"Rosh Chodesh Elul","13/8/2026",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","14/8/2026",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","14/8/2026",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Leil Selichot","5/9/2026",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","11/9/2026",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5787","12/9/2026",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","13/9/2026",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","14/9/2026",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","19/9/2026",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Erev Yom Kippur","20/9/2026",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","21/9/2026",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","25/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","26/9/2026",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II","27/9/2026",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot III (CH''M)","28/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH''M)","29/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH''M)","30/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH''M)","1/10/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","2/10/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","3/10/2026",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","4/10/2026",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Cheshvan","10/10/2026",,,,"true","Molad Cheshvan: Sun; 43 minutes and 2 chalakim after 9:00","3",""
"Rosh Chodesh Cheshvan","11/10/2026",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","12/10/2026",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Kislev","7/11/2026",,,,"true","Molad Kislev: Mon; 27 minutes and 3 chalakim after 22:00","3",""
"Sigd","9/11/2026",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","10/11/2026",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/11/2026",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 1 Candle","4/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","5/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tevet","5/12/2026",,,,"true","Molad Tevet: Wed; 11 minutes and 4 chalakim after 11:00","3",""
"Chanukah: 3 Candles","6/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","7/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","8/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","9/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chag HaBanot","10/12/2026",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","10/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","10/12/2026",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8 Candles","11/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
