"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Rosh Chodesh Tevet","11/12/2026",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8th Day","12/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Asara B'Tevet","20/12/2026",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sh'vat","2/1/2027",,,,"true","Molad Sh'vat: Thu; 55 minutes and 5 chalakim after 23:00","3",""
"Rosh Chodesh Sh'vat","9/1/2027",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Tu BiShvat","23/1/2027",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shirah","23/1/2027",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar I","6/2/2027",,,,"true","Molad Adar I: Sat; 39 minutes and 6 chalakim after 12:00","3",""
"Rosh Chodesh Adar I","7/2/2027",,,,"true","Start of month of Adar I (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar I","8/2/2027",,,,"true","Start of month of Adar I (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Purim Katan","21/2/2027",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shushan Purim Katan","22/2/2027",,,,"true","Minor Purim celebration during Adar I on leap years in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Shekalim","6/3/2027",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar II","6/3/2027",,,,"true","Molad Adar II: Mon; 23 minutes and 7 chalakim after 1:00","3",""
"Rosh Chodesh Adar II","9/3/2027",,,,"true","Start of month of Adar II (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar II","10/3/2027",,,,"true","Start of month of Adar II (on leap years) on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Zachor","20/3/2027",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Ta'anit Esther","22/3/2027",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","22/3/2027",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","23/3/2027",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","24/3/2027",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","27/3/2027",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/4/2027",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Nisan","3/4/2027",,,,"true","Molad Nisan: Tue; 7 minutes and 8 chalakim after 14:00","3",""
"Rosh Chodesh Nisan","8/4/2027",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat HaGadol","17/4/2027",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Yom HaAliyah","17/4/2027",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Ta'anit Bechorot","21/4/2027",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","21/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","22/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","23/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","24/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","25/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","26/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","27/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","28/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","29/4/2027",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Iyyar","1/5/2027",,,,"true","Molad Iyyar: Thu; 51 minutes and 9 chalakim after 2:00","3",""
"Yom HaShoah","4/5/2027",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","7/5/2027",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","8/5/2027",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Yom HaZikaron","11/5/2027",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","12/5/2027",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","21/5/2027",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","25/5/2027",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","4/6/2027",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sivan","5/6/2027",,,,"true","Molad Sivan: Fri; 35 minutes and 10 chalakim after 15:00","3",""
"Rosh Chodesh Sivan","6/6/2027",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Erev Shavuot","10/6/2027",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot I","11/6/2027",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shavuot II","12/6/2027",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tamuz","3/7/2027",,,,"true","Molad Tamuz: Sun; 19 minutes and 11 chalakim after 4:00","3",""
"Rosh Chodesh Tamuz","5/7/2027",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/7/2027",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Tzom Tammuz","22/7/2027",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Av","31/7/2027",,,,"true","Molad Av: Mon; 3 minutes and 12 chalakim after 17:00","3",""
"Rosh Chodesh Av","4/8/2027",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Chazon","7/8/2027",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Erev Tish'a B'Av","11/8/2027",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish'a B'Av","12/8/2027",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Shabbat Nachamu","14/8/2027",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","18/8/2027",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Elul","28/8/2027",,,,"true","Molad Elul: Wed; 47 minutes and 13 chalakim after 5:00","3",""
"Rosh Chodesh Elul","2/9/2027",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","3/9/2027",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","3/9/2027",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Leil Selichot","25/9/2027",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","1/10/2027",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5788","2/10/2027",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","3/10/2027",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","4/10/2027",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","9/10/2027",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Erev Yom Kippur","10/10/2027",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","11/10/2027",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","15/10/2027",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","16/10/2027",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II","17/10/2027",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot III (CH''M)","18/10/2027",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH''M)","19/10/2027",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH''M)","20/10/2027",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH''M)","21/10/2027",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","22/10/2027",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","23/10/2027",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","24/10/2027",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Cheshvan","30/10/2027",,,,"true","Molad Cheshvan: Sat; 15 minutes and 15 chalakim after 7:00","3",""
"Rosh Chodesh Cheshvan","31/10/2027",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","1/11/2027",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Kislev","27/11/2027",,,,"true","Molad Kislev: Sun; 59 minutes and 16 chalakim after 19:00","3",""
"Sigd","29/11/2027",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","30/11/2027",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Kislev","1/12/2027",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 1 Candle","24/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","25/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tevet","25/12/2027",,,,"true","Molad Tevet: Tue; 43 minutes and 17 chalakim after 8:00","3",""
"Chanukah: 3 Candles","26/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","27/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","28/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","29/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chag HaBanot","30/12/2027",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","30/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","30/12/2027",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8 Candles","31/12/2027",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Rosh Chodesh Tevet","31/12/2027",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8th Day","1/1/2028",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Asara B'Tevet","9/1/2028",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sh'vat","22/1/2028",,,,"true","Molad Sh'vat: Wed; 28 minutes and 0 chalakim after 21:00","3",""
"Rosh Chodesh Sh'vat","29/1/2028",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Tu BiShvat","12/2/2028",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shirah","12/2/2028",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Shabbat Shekalim","26/2/2028",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar","26/2/2028",,,,"true","Molad Adar: Fri; 12 minutes and 1 chalakim after 10:00","3",""
"Rosh Chodesh Adar","27/2/2028",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar","28/2/2028",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Ta'anit Esther","9/3/2028",,,,"true","Fast of Esther","3","Jewish Holidays"
"Shabbat Zachor","11/3/2028",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Erev Purim","11/3/2028",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","12/3/2028",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","13/3/2028",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","18/3/2028",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","25/3/2028",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Nisan","25/3/2028",,,,"true","Molad Nisan: Sat; 56 minutes and 2 chalakim after 22:00","3",""
"Rosh Chodesh Nisan","28/3/2028",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Yom HaAliyah","6/4/2028",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Shabbat HaGadol","8/4/2028",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Ta'anit Bechorot","10/4/2028",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","10/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","11/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","12/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","13/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","14/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","15/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","16/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","17/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","18/4/2028",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Iyyar","22/4/2028",,,,"true","Molad Iyyar: Mon; 40 minutes and 3 chalakim after 11:00","3",""
"Yom HaShoah","24/4/2028",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","26/4/2028",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","27/4/2028",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Yom HaZikaron","1/5/2028",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","2/5/2028",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","10/5/2028",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","14/5/2028",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Sivan","20/5/2028",,,,"true","Molad Sivan: Wed; 24 minutes and 4 chalakim after 0:00","3",""
"Yom Yerushalayim","24/5/2028",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","26/5/2028",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Erev Shavuot","30/5/2028",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot I","31/5/2028",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shavuot II","1/6/2028",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Tamuz","17/6/2028",,,,"true","Molad Tamuz: Thu; 8 minutes and 5 chalakim after 13:00","3",""
"Rosh Chodesh Tamuz","24/6/2028",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","25/6/2028",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Tzom Tammuz","11/7/2028",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Av","22/7/2028",,,,"true","Molad Av: Sat; 52 minutes and 6 chalakim after 1:00","3",""
"Rosh Chodesh Av","24/7/2028",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Chazon","29/7/2028",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Erev Tish'a B'Av","31/7/2028",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish'a B'Av","1/8/2028",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Shabbat Nachamu","5/8/2028",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","7/8/2028",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Elul","19/8/2028",,,,"true","Molad Elul: Sun; 36 minutes and 7 chalakim after 14:00","3",""
"Rosh Chodesh Elul","22/8/2028",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","23/8/2028",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","23/8/2028",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Leil Selichot","16/9/2028",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","20/9/2028",,,,"true","The Jewish New Year","3","Jewish Holidays"
